layer,bbq_correct,bbq_accuracy
1,8,0.02666666666666667
2,89,0.2966666666666667
3,156,0.52
4,156,0.52
5,155,0.5166666666666667
6,155,0.5166666666666667
7,158,0.5266666666666666
8,143,0.4766666666666667
9,151,0.5033333333333333
10,146,0.4866666666666667
11,161,0.5366666666666666
12,168,0.56
13,172,0.5733333333333334
14,183,0.61
15,177,0.59
16,166,0.5533333333333333
17,174,0.58
18,167,0.5566666666666666
19,159,0.53
20,160,0.5333333333333333
21,160,0.5333333333333333
22,160,0.5333333333333333
23,160,0.5333333333333333
24,160,0.5333333333333333
25,161,0.5366666666666666
26,161,0.5366666666666666
27,161,0.5366666666666666
28,162,0.54
29,161,0.5366666666666666
30,161,0.5366666666666666
31,162,0.54
