layer,bbq_correct,bbq_accuracy
1,0,0.0
2,122,0.4066666666666667
3,105,0.35
4,151,0.5033333333333333
5,156,0.52
6,142,0.47333333333333333
7,138,0.46
8,130,0.43333333333333335
9,135,0.45
10,147,0.49
11,157,0.5233333333333333
12,155,0.5166666666666667
13,170,0.5666666666666667
14,161,0.5366666666666666
15,157,0.5233333333333333
16,151,0.5033333333333333
17,152,0.5066666666666667
18,155,0.5166666666666667
19,158,0.5266666666666666
20,157,0.5233333333333333
21,157,0.5233333333333333
22,158,0.5266666666666666
23,158,0.5266666666666666
24,156,0.52
25,156,0.52
26,155,0.5166666666666667
27,156,0.52
28,156,0.52
29,156,0.52
30,157,0.5233333333333333
31,156,0.52
