layer,bbq_correct,bbq_accuracy
1,0,0.0
2,112,0.37333333333333335
3,150,0.5
4,134,0.44666666666666666
5,135,0.45
6,139,0.4633333333333333
7,124,0.41333333333333333
8,125,0.4166666666666667
9,116,0.38666666666666666
10,102,0.34
11,132,0.44
12,129,0.43
13,160,0.5333333333333333
14,161,0.5366666666666666
15,157,0.5233333333333333
16,143,0.4766666666666667
17,141,0.47
18,136,0.4533333333333333
19,122,0.4066666666666667
20,121,0.4033333333333333
21,121,0.4033333333333333
22,122,0.4066666666666667
23,122,0.4066666666666667
24,122,0.4066666666666667
25,122,0.4066666666666667
26,122,0.4066666666666667
27,123,0.41
28,124,0.41333333333333333
29,123,0.41
30,121,0.4033333333333333
31,122,0.4066666666666667
