layer,bbq_correct,bbq_accuracy
1,0,0.0
2,118,0.3933333333333333
3,109,0.36333333333333334
4,132,0.44
5,119,0.39666666666666667
6,131,0.43666666666666665
7,119,0.39666666666666667
8,113,0.37666666666666665
9,127,0.42333333333333334
10,138,0.46
11,137,0.45666666666666667
12,135,0.45
13,143,0.4766666666666667
14,138,0.46
15,138,0.46
16,134,0.44666666666666666
17,140,0.4666666666666667
18,135,0.45
19,127,0.42333333333333334
20,129,0.43
21,128,0.4266666666666667
22,127,0.42333333333333334
23,127,0.42333333333333334
24,127,0.42333333333333334
25,128,0.4266666666666667
26,128,0.4266666666666667
27,128,0.4266666666666667
28,128,0.4266666666666667
29,128,0.4266666666666667
30,127,0.42333333333333334
31,129,0.43
