layer,bbq_correct,bbq_accuracy
1,0,0.0
2,112,0.37333333333333335
3,167,0.5566666666666666
4,127,0.42333333333333334
5,128,0.4266666666666667
6,130,0.43333333333333335
7,121,0.4033333333333333
8,123,0.41
9,113,0.37666666666666665
10,102,0.34
11,124,0.41333333333333333
12,124,0.41333333333333333
13,165,0.55
14,165,0.55
15,159,0.53
16,141,0.47
17,142,0.47333333333333333
18,134,0.44666666666666666
19,122,0.4066666666666667
20,122,0.4066666666666667
21,121,0.4033333333333333
22,123,0.41
23,123,0.41
24,122,0.4066666666666667
25,122,0.4066666666666667
26,122,0.4066666666666667
27,123,0.41
28,124,0.41333333333333333
29,123,0.41
30,123,0.41
31,122,0.4066666666666667
